director,number_of_title,vote_average
Atsuya Uki,1,6.0
Audrey Cummings,1,5.5
Audrey Estrougo,1,5.2
Audrey Wells,1,6.4
Audu Paden,1,4.6
Austin Chick,2,5.050000000000001
Austin Stark,1,4.8
Ava DuVernay,1,7.5
Avi Nesher,1,5.5
Azazel Jacobs,1,6.7
Aziz Ansari,1,7.1
Aziz Mirza,2,6.75
B.A. Brooks,1,4.1
BJ McDonnell,1,5.1
Baillie Walsh,1,6.7
Baltasar KormÃ¡kur,6,6.1000000000000005
Banksy,1,7.7
Barbara Kopple,1,5.1
Barbara Peeters,1,6.3
Barbara Schroeder,1,6.0
Barbet Schroeder,7,6.114285714285715
Barbra Streisand,3,6.133333333333333
Barnaby Thompson|Oliver Parker,1,5.4
Barry Battles,1,5.5
Barry Levinson,19,5.98421052631579
Barry Shear,1,5.9
Barry Skolnick,1,6.1
Barry Sonnenfeld,10,6.02
Barry W. Blaustein,2,5.2
Bart Freundlich,2,5.15
Bart Layton,1,7.3
Basel Owies,1,5.8
Basil Dearden,1,6.3
Basil Dearden|Eliot Elisofon,1,5.8
Bassam Kurdali,1,6.0
Baz Luhrmann,5,6.720000000000001
Beeban Kidron,2,6.15
Ben Affleck,3,6.966666666666666
Ben Blaine|Chris Blaine,1,4.8
Ben Chanan,1,6.4
Ben Demaree,1,5.3
Ben Drew,1,5.9
Ben Falcone,1,5.1
Ben Garant,2,5.4
Ben Garant|Thomas Lennon,1,4.4
Ben Gluck,1,6.4
Ben Gregor,1,5.5
Ben Jehoshua,1,5.2
Ben Kellett,1,5.2
Ben Ketai,2,4.8
Ben Lewin,1,6.3
Ben Palmer,2,6.35
Ben Ramsey,1,6.9
Ben Rock,1,4.9
Ben Safdie|Joshua Safdie,1,6.9
Ben Stassen,2,5.0
Ben Stassen|Jeremy Degruson,1,6.3
Ben Stassen|Vincent Kesteloot,1,5.7
Ben Steinbauer,1,6.0
Ben Stiller,5,6.279999999999999
Ben Wheatley,5,5.92
Ben Younger,2,6.0
Benedek Fliegauf,1,5.6
Benedikt Erlingsson,1,6.5
Benh Zeitlin,1,6.6
Benjamin Epps,1,6.2
Benjamin Statler,1,7.2
Benjamin Turner|Gabe Turner,1,6.6
Bennett Miller,3,6.7
Benny Boom,2,5.25
Benny Chan,6,6.216666666666666
Benson Lee,1,5.9
Bernard Campan|Didier Bourdon,1,7.0
Bernard L. Kowalski,1,6.5
Bernard Rose,8,5.4
Bernardo Bertolucci,6,6.383333333333333
Bernie Goldmann|Melisa Wallack,1,5.9
Bert I. Gordon,2,5.1
Bert Kish,1,6.8
Bertrand Bonello,2,6.0
Bertrand Tavernier,3,6.0
Bess Kargman,1,7.6
Beth McCarthy-Miller|Rob Ashford,1,5.6
Beto GÃ³mez,1,6.0
Betty Thomas,7,5.7
Bharat Nalluri,3,5.633333333333333
Bibo Bergeron|Vicky Jenson|Rob Letterman,1,5.8
Bill Bannerman,1,4.7
Bill Condon,8,5.875
Bill Corcoran,2,5.3
Bill CouturiÃ©,1,3.8
Bill Duke,4,6.1000000000000005
Bill Forsyth,2,6.75
Bill Guttentag,1,5.6
Bill Kopp,1,7.0
Bill Kroyer,1,6.2
Bill L. Norton,2,5.2
Bill Melendez,4,6.475
Bill Melendez|Phil Roman,1,7.6
Bill Paxton,2,6.9
