cast,number_of_title,vote_average
Eli Wallach,1,5.5
Elias Koteas,3,6.566666666666666
Elijah Cummings,1,6.2
Elijah Kelley,2,6.9
Elijah Smith,1,5.8
Elijah Wood,5,6.0200000000000005
Elisa Lasowski,1,6.5
Elisabeth Henry-Macari,1,7.0
Elisabeth Moss,6,5.45
Elisabeth Shue,3,6.5
Elise Couture,1,7.2
Elise Muller,1,5.4
Elisha Cuthbert,1,5.6
Eliza Dushku,2,6.35
Elizabeth Arends,1,6.5
Elizabeth Banks,8,5.75
Elizabeth Berkley,1,6.7
Elizabeth Bunch,1,7.6
Elizabeth Debicki,1,5.0
Elizabeth Di Prinzio,1,5.9
Elizabeth Elvin,1,6.0
Elizabeth Friedman,1,8.5
Elizabeth Gillies,1,6.7
Elizabeth Hunter,1,6.0
Elizabeth Keener,1,5.6
Elizabeth McGovern,1,6.1
Elizabeth McKee,1,7.4
Elizabeth Mkandawie,1,6.0
Elizabeth Olsen,2,5.65
Elizabeth Reaser,1,5.8
Elizabeth Rice,1,5.1
Elizabeth Rider,1,6.9
Elizabeth Roberts,1,6.1
Elizabeth Whitmere,1,6.1
Ella Purnell,2,5.75
Ella Smith,1,5.4
Ella Wahlestedt,1,6.7
Ellar Coltrane,1,6.1
Elle Fanning,6,5.966666666666666
Ellen Barkin,2,6.55
Ellen Burstyn,5,5.5600000000000005
Ellen DeGeneres,1,3.2
Ellen Hollman,1,6.0
Ellen Muth,1,4.8
Ellen Page,5,5.82
Ellie Botterill,1,7.2
Ellie Grainger,1,6.5
Ellie Kemper,4,5.8
Ellie Kendrick,1,4.8
Ellie Nunn,1,6.3
Elliot Cowan,2,5.449999999999999
Elliott Hanna,1,6.4
Elliott Smith,1,6.7
Ellis Greer,1,5.8
Elma Begovic,1,6.3
Elodie Yung,2,6.25
Eloise Mumford,2,6.0
Elon Musk,1,3.4
Elsa Pataky,3,6.3999999999999995
Elsie Gatien,1,5.6
Elsie Kate Fisher,1,6.9
Elton John,1,6.0
Elyane Nadeau,1,6.3
Elyes Gabel,2,5.15
ElÃ©onore Hendricks,2,6.0
Emayatzy Corinealdi,1,7.5
Emi Ikehata,1,5.6
Emil Marwa,1,6.8
Emile Hirsch,1,5.7
Emilee Wallace,1,6.8
Emilia Clarke,1,6.8
Emilia Fox,1,6.5
Emilia Jones,1,5.0
Emilia McCarthy,1,4.2
Emilia Zoryan,1,7.4
Emilie de Ravin,2,5.7
Emilio Estevez,1,3.5
Emilio Rivera,1,6.4
Emily Alyn Lind,4,5.775
Emily Atack,1,7.6
Emily Barclay,1,6.9
Emily Bett Rickards,1,5.5
Emily Blunt,7,5.714285714285714
Emily Browning,4,6.3
Emily Goss,1,6.5
Emily Hampshire,1,4.7
Emily Mortimer,4,5.925
Emily Osment,2,6.1
Emily Peck,1,6.0
Emily Ratajkowski,1,7.0
Emily Rios,1,6.8
Emily Rose Everhard,1,6.4
Emily Tennant,3,6.7
Emily VanCamp,4,6.550000000000001
Emily Watson,4,5.675
Emily Wheaton,1,6.0
Emjay Anthony,2,6.3
Emma Bell,1,5.4
Emma Booth,2,5.800000000000001
Emma Catherwood,1,5.7
Emma Caulfield,1,5.6
Emma Fitzpatrick,2,5.25
Emma Fuhrmann,1,6.2
Emma Hamilton,1,4.8
Emma Lockhart,1,6.8
Emma Lung,1,6.0
Emma Rigby,2,5.65
Emma Roberts,7,6.4
Emma Stone,9,5.766666666666667
Emma Thompson,5,5.5
Emma Watson,4,6.5
Emmanuel de Merode,1,6.8
Emmanuelle BÃ©art,1,4.7
Emmanuelle Chriqui,3,5.7
Emmanuelle Seigner,1,6.6
Emmanuelle Vaugier,3,6.033333333333334
Emmy Argo,1,7.0
Emmy Rossum,4,5.975
Emory Cohen,1,4.9
Ena Imai,1,6.2
EnikÃ¶ BÃ¶rcsÃ¶k,1,8.1
Enrico Brignano,1,6.0
Enrico Colantoni,1,6.4
Enzo Cilenti,2,6.050000000000001
Erbi Ago,1,5.8
Eric Allan Kramer,1,4.9
Eric Balfour,2,6.800000000000001
Eric Bana,5,5.779999999999999
Eric Bossick,1,6.9
Eric Cantona,1,6.0
Eric Christian Olsen,2,4.95
Eric D. Hill Jr.,1,7.3
Eric Dane,2,4.85
Eric Elmosnino,1,6.5
Eric Etebari,1,6.1
Eric Jacobson,1,7.0
Eric Jacobus,1,5.5
Eric Jungmann,1,7.5
Eric Ladin,1,7.0
Eric Lampaert,1,7.1
Eric McCormack,1,6.1
Eric Peterson,1,5.6
Eric Roberts,2,4.25
Eric Scott Woods,1,5.5
Eric Stonestreet,1,5.4
Eric Winter,3,5.7
Erica Derrickson,1,7.1
Erich Anderson,1,6.8
Erik Stolhanske,1,6.4
Erik Thomson,1,7.1
Erika Christensen,2,6.050000000000001
Erin Agostino,1,5.8
Erin Cardillo,1,5.7
Erin Cummings,3,4.833333333333333
Erin Davies,1,6.3
Erin Dilly,1,5.5
Erin Gray,1,5.9
Erin Karpluk,2,6.65
Erin Marie Hogan,1,4.7
Erin McGathy,1,6.6
Erin O'Brien,1,5.6
Erin Richards,1,5.9
Erin Wasson,1,6.1
Ernest James,1,7.5
Ernie Hudson,1,6.8
Eros Vlahos,1,7.7
Errol Morris,1,6.9
EsmÃ© Bianco,2,6.449999999999999
Essence Atkins,2,5.199999999999999
Essie Davis,2,5.45
Estella Warren,1,6.8
Esther Povitsky,1,6.8
Ethan Embry,2,4.85
Ethan Erickson,1,5.3
Ethan Hawke,9,6.2
Ethan Rains,1,5.4
Ethan Suplee,3,6.1000000000000005
Eugene Clark,1,6.7
Eugene Levy,1,6.3
Eugenia Caruso,1,7.1
Eugenia Yuan,1,4.9
Eugenio Derbez,1,6.9
Eva Amurri Martino,1,7.0
Eva Gabor,1,5.4
Eva Green,4,5.749999999999999
Eva Kuen,1,7.2
Eva Longoria,2,5.1
Eva Mendes,4,5.425
Evan Bird,1,6.3
Evan C. Kim,1,4.3
Evan Jones,1,4.3
Evan McGuire,1,6.3
Evan Peters,2,5.550000000000001
Evan Rachel Wood,5,5.5200000000000005
Evan Ross,1,6.0
Evangeline Lilly,1,5.1
Eve,1,5.6
Eve Harlow,1,5.8
Eve Plumb,1,7.2
Ewan McGregor,8,5.375
Ewen Bremner,2,6.4
Ewen Leslie,1,6.5
Ezra Miller,4,5.775
F. Murray Abraham,1,6.4
Fabianne Therese,1,5.9
Fabien HÃ©raud,1,5.7
Fabrice EbouÃ©,1,5.8
Fadi Abi Samra,1,5.8
Fairuza Balk,2,6.199999999999999
Faith Wladyka,1,5.7
Famke Janssen,2,6.0
Fanny Mallette,1,5.6
Fanny Valette,1,5.7
Faran Tahir,1,5.9
Fatima Ptacek,1,5.3
Fatma Mohamed,1,7.3
Fawad Afzal Khan,1,5.8
Fedja Stukan,1,6.1
Felicity Huffman,3,5.433333333333333
Felicity Jones,6,6.366666666666666
Fergus Riordan,1,4.3
Fernando Lara,1,6.2
Fia Perera,1,6.4
Field Cate,1,5.8
Finn Jones,1,5.5
Finn Wittrock,2,6.5
Finola Hughes,1,5.2
Fiona Dourif,1,6.6
Fiona Gubelmann,1,6.4
Fiona O'Carroll,1,6.7
Fiona O'Shaughnessy,1,5.4
Fionnula Flanagan,1,6.6
Fisher Stevens,1,7.4
Flaminia Cinque,1,7.1
Flavia Roberto,1,6.4
Florence Mezzara,1,6.6
Florence Pugh,1,5.6
Flynn Allen,1,6.0
Forest Whitaker,7,6.485714285714285
Forrest Borie,1,4.5
Fran Kranz,2,5.15
Frances Conroy,2,5.4
Frances McDormand,2,6.0
Frances O'Connor,1,6.8
Frances Sternhagen,1,6.1
Frances de la Tour,2,6.35
Francesca Capaldi,1,6.1
Francesco Scianna,1,5.9
Francis Renaud,1,7.0
Francisco Rabal,1,5.5
Franck Dubosc,1,5.5
Franco Columbu,1,4.4
Frank Collison,1,6.3
Frank Frankson,1,6.3
Frank Grillo,4,6.225
Frank J. Zupancic,1,7.5
Frank Langella,5,5.26
Frank Moore,1,6.1
Frank Rautenbach,1,5.7
Frank Welker,5,6.220000000000001
Frank Whaley,1,5.0
Frank Williams,1,6.7
Franka Potente,2,6.3
Frankie Faison,1,7.7
Frankie Muniz,1,6.0
Franz Drameh,1,7.3
FranÃ§ois Arnaud,1,7.5
FranÃ§ois Civil,1,7.2
FranÃ§ois Truffaut,1,6.2
FranÃ§ois-Xavier Demaison,1,4.8
Fred Buch,1,8.3
Fred Ewanuick,1,6.4
Fred Melamed,1,6.6
Fred Tatasciore,3,6.433333333333334
Fred Testot,1,5.9
Freddie Highmore,2,6.25
Freddie Prinze Jr.,1,4.1
Freddie Roach,1,6.2
Freddie Stroma,1,5.8
Freddy RodrÃ­guez,1,6.5
Frederick Parslow,1,4.4
Frederikke Dahl Hansen,1,5.4
Freida Pinto,2,5.8
Freya Adams,1,6.7
Freya Stafford,1,6.2
Freya Tingley,1,6.9
Friedrich MÃ¼cke,1,6.7
Fritz Weaver,2,7.0
Fu'ad AÃ¯t Aattou,1,6.7
Fulvio Cecere,2,6.3
FÃ©lix de Givry,1,4.6
FÃ©odor Atkine,1,4.2
G.K. Bowes,1,4.8
Gabourey Sidibe,3,5.400000000000001
Gabriel Basso,2,6.0
Gabriel Bateman,1,4.8
Gabriel Byrne,3,6.2
Gabriel Congdon,1,5.3
Gabriel Hogan,1,5.9
Gabriel Iglesias,3,6.0
Gabriel Macht,3,6.333333333333333
Gabriel Mann,1,5.2
Gabriella Wilde,2,6.8
Gabriella Wright,2,5.45
Gabrielle Miller,1,6.4
Gabrielle Rose,1,7.0
Gabrielle Union,1,5.8
Gaby Hoffmann,2,5.0
Gad Elmaleh,2,6.3
Gael GarcÃ­a Bernal,4,6.1000000000000005
Gaelan Connell,1,5.8
Gage Golightly,1,6.1
Gaia Weiss,1,6.7
Gail Bean,1,6.0
Gaku Hamada,1,7.2
Gaku Space,1,6.6
Gala Besson,1,6.0
Galadriel Stineman,1,6.1
Gale Harold,1,5.9
Garcelle Beauvais,1,6.4
Gard B. Eidsvold,1,6.7
Gareth Brough,1,6.7
Gareth David-Lloyd,1,5.1
Garret Dillahunt,3,5.833333333333333
Garrett Clayton,1,5.9
Garrett Coffey,1,7.5
Garrett Hedlund,6,5.616666666666666
Garrett Hines,1,5.6
Garry Chalk,1,5.6
Gary Cole,2,5.15
Gary Daniels,2,5.2
Gary Graham,1,6.0
Gary Lineker,1,4.7
Gary Lydon,1,6.7
Gary Oldman,6,6.266666666666667
Gary Stretch,2,6.35
Gary Sweet,1,5.9
Gaspar NoÃ©,1,4.6
Gaspard Proust,1,5.0
Gaspard Ulliel,1,5.9
Gattlin Griffith,1,6.8
Gavin Andresen,2,4.75
Gavin Lewis,1,6.1
Gavin O'Herlihy,1,6.9
Ged Murray,1,5.4
Geena Davis,1,7.4
Gemma Arterton,6,5.816666666666666
Gemma Bird Matheson,1,6.5
Gemma Chan,2,5.75
Gemma Jones,2,6.65
Gena Rowlands,1,5.2
Gene Hackman,1,6.7
GeneviÃ¨ve Bujold,1,6.9
Geoff Breton,1,5.8
Geoff Pierson,1,6.1
Geoff Stults,1,5.0
Geoffrey Arend,1,7.1
Geoffrey Rush,2,6.45
George Burns,1,5.2
George Buza,1,6.7
George Clooney,7,6.414285714285714
George Finn,1,7.2
George Georgiou,1,5.3
George Hardy,1,5.5
George Lois,1,5.6
George Lopez,3,6.166666666666667
George McLaren,1,5.8
George Newbern,1,6.2
George Segal,1,6.7
George Takei,1,6.5
George W. Bush,1,5.5
George Wendt,1,5.5
Georgette Perna,1,6.4
Georgia Goodrick,1,5.5
Georgia King,2,6.25
Georgia X. Lifsher,1,4.4
Georgie Henley,3,6.333333333333333
Georgina Beedle,1,6.7
Georgina Haig,3,6.166666666666667
Gerald Downey,1,5.6
Gerald McRaney,2,6.2
Gerald Webb,1,6.6
Geraldine James,2,6.3
Geraldine Page,1,6.5
Gerard Butler,8,5.999999999999999
Gerard Jordan,1,5.8
Gerard Kearns,1,6.3
Gerrit Graham,1,6.8
Gerry O'Brien,1,5.6
Gert FrÃ¶be,1,5.8
Gethin Anthony,1,6.7
Gia Crovatin,1,2.4
Gia Mantegna,2,6.35
Giancarlo Esposito,3,6.0
Gianni Capaldi,2,4.6
Gichi Gamba,1,6.0
Gigi Edgley,1,5.7
Gigi Rice,1,5.6
Gil Bellows,2,6.699999999999999
Gil Darnell,1,5.6
Gil Kolirin,2,6.050000000000001
Gil McKinney,1,6.0
Gil Zabarsky,1,7.5
Gilbert Gottfried,1,5.5
Gill Summers,1,6.6
Gilles Lellouche,1,5.8
Gillian Anderson,2,6.699999999999999
Gillian Jacobs,5,6.4
Gina Carano,3,4.633333333333334
Gina Gershon,4,6.45
Gina Holden,1,5.3
Gina Marie May,1,5.0
Gina McKee,1,7.3
Ginnifer Goodwin,3,5.933333333333334
Gio Perez,1,4.5
Giorgi Tsaava,1,6.5
Giorgio Faletti,1,6.0
Giovanni Ribisi,4,5.7
Giovanni Roselli,1,4.4
Giovonnie Samuels,1,4.6
Giulio Berruti,1,7.2
Giuseppe Maggio,1,6.0
Gladys Knight,1,5.9
Glen Powell,1,5.7
Glen-Paul Waru,1,5.4
Glenn Close,2,5.6
Glenn Greenwald,1,5.3
Glenn Howerton,1,5.7
Glenn Thomas Jacobs,1,6.0
Gloria Reuben,2,5.300000000000001
Gonen Ben Yitzhak,1,7.6
Goran Visnjic,4,5.9
Gordon Pinsent,1,6.0
Gore Vidal,1,6.3
Govinda,2,6.35
Govinda Angulo,1,6.4
Grace Chin,1,7.0
Grace Coddington,1,7.1
Grace Dunham,1,6.1
Grace Gummer,3,5.766666666666667
Grace Helbig,1,6.5
Grace Huang,1,6.9
Grace Park,1,4.3
Grace Phipps,2,5.800000000000001
Grace Van Dien,2,5.25
Graham McTavish,4,6.125
Graham Phillips,1,4.8
Graham Rogers,1,3.8
Grant Bowler,1,6.2
Grant Harvey,1,6.5
Grant O'Connell,1,4.8
Greg Bryk,1,5.9
Greg Davies,1,6.5
Greg Kinnear,3,5.633333333333333
Greg Serano,1,5.4
Greg Wise,1,6.4
Gregg Gilmore,1,6.2
Gregg Harris,1,5.7
Gregg Henry,2,7.0
Gregg Sulkin,1,5.7
Gregg Turkington,1,6.3
Gregory Hlady,1,6.2
Gregory Jones,1,6.4
Greta Gerwig,5,5.760000000000001
Grey Griffin,6,5.933333333333334
Griffin Dunne,1,5.6
Grumpy Cat,1,5.8
GrÃ©goire Colin,1,6.7
Gufran Ali,1,5.7
Gugu Mbatha-Raw,2,5.35
Guillaume Canet,2,5.3
Guillermo del Toro,1,7.3
Gustaf Hammarsten,1,4.9
Gustave de Kervern,1,5.3
Gustavo SalmerÃ³n,1,6.6
Gustavo SÃ¡nchez Parra,1,5.6
Guy Boyd,1,6.0
Guy Pearce,9,5.5555555555555545
Gwen Taylor,1,5.9
Gwendoline Yeo,1,6.2
Gwyneth Paltrow,3,4.5
Gyton Grantley,2,6.949999999999999
GÃ©nesis RodrÃ­guez,1,8.1
GÃ©raldine Pailhas,1,3.7
GÃ©rard Depardieu,1,6.1
GÃ©rard Lanvin,2,4.95
H. Jon Benjamin,1,5.1
Haaz Sleiman,1,5.6
Hadley Belle Miller,1,6.5
Hailee Steinfeld,6,5.3500000000000005
Hailey Smith,1,5.9
Hakeem Kae-Kazim,1,6.3
Hakim Callender,1,7.0
Hal Holbrook,1,5.1
Hal Ozsan,1,4.7
Haley Bennett,5,5.799999999999999
Haley Hudson,1,6.0
Haley Joel Osment,3,5.800000000000001
Haley Lu Richardson,1,6.7
Haley Webb,1,5.0
Halina Reijn,1,5.9
Halle Berry,1,5.6
Hallee Hirsh,1,5.7
Halley Feiffer,1,6.0
Hallock Beals,1,6.0
Halston Sage,1,6.0
Haluk Bilginer,1,5.0
Hamilton Nash Grier,1,6.6
Hamish Bowles,1,5.1
Hamish Linklater,1,6.2
Hamish Phillips,1,6.0
Hana Ali,1,6.9
Hank Azaria,2,6.3
Hanna Brown,1,4.7
Hanna Mangan Lawrence,2,6.15
Hanna Mellin,1,6.2
Hannah Arterton,1,6.1
Hannah Endicott-Douglas,2,5.3
Hannah Hart,1,6.3
Hannah Hoekstra,1,5.7
Hannah Murray,3,6.8999999999999995
Hannah Spearritt,1,5.7
Hannah Ware,1,4.8
Hanne Steen,1,5.2
Hannibal Buress,1,6.9
Hans Conried,1,4.3
Harland Williams,1,6.7
Harley Jane Kozak,1,4.9
Harley Sylvester,1,5.5
Harmony Blossom,1,6.7
Harmony Korine,1,5.6
Harold Perrineau,2,5.6
Harriet Walter,1,5.9
Harris Allan,1,6.3
Harrison Ford,7,5.557142857142858
Harrison Gilbertson,4,6.6499999999999995
Harry Connick Jr.,2,5.5
Harry Cook,1,6.1
Harry Enfield,1,6.4
Harry Feltham,1,4.7
Harry H. Corbett,1,3.8
Harry Lloyd,1,7.3
Harry Shum Jr.,1,7.1
Harry Styles,1,4.9
Harry Treadaway,2,6.550000000000001
Haruka Abe,1,5.2
Harvey Keitel,3,5.533333333333334
Harvey Korman,1,4.3
Harvey Scrimshaw,1,3.5
Hassan Johnson,1,6.8
Hattie Morahan,1,6.3
Haviland Stillwell,1,5.1
Hayden Christensen,5,5.78
Hayden Panettiere,2,6.1
Hayes MacArthur,1,7.9
Hayley Atwell,1,5.7
Hayley Derryberry,1,7.1
Hayley Joanne Bacon,1,6.1
Hayley Kiyoko,3,6.733333333333334
Hayley Magnus,1,4.6
Hayley McElhinney,1,5.7
Haylie Duff,2,4.15
Hays Wellford,1,6.0
Hazuki Kato,1,5.1
Heath Ledger,1,6.7
Heather Doerksen,1,6.8
Heather Graham,9,6.2444444444444445
Heather Kafka,1,5.3
Heather Lawless,1,6.0
Heather Lind,1,6.3
Heather Morris,1,6.3
Heather Robb,1,6.7
Hector David Jr.,1,6.1
Heinz Bennent,1,4.1
Helen Hayes,1,4.7
Helen Hunt,3,5.733333333333334
Helen McCrory,1,5.3
Helen Mirren,9,5.966666666666667
Helen Niedwick,1,4.5
Helen Reddy,1,5.8
Helen Slater,1,5.1
Helena Barrett,1,5.9
Helena Bonham Carter,9,5.977777777777778
Helene Ahlson,1,6.2
Henri Lubatti,1,5.9
Henry Cavill,2,5.550000000000001
Henry Czerny,2,6.15
Henry Fonda,1,5.8
Henry Goodman,2,6.25
Henry Lloyd-Hughes,1,5.2
Henry Rollins,2,7.35
Henry Simmons,2,5.3
Henry Thomas,1,5.0
Henry Winkler,1,7.1
Hensy Pichardo,1,5.6
Herbert Siguenza,1,7.0
Hiam Abbass,1,5.5
Hidetaka Yoshioka,1,6.3
Hilary Duff,2,6.199999999999999
Hilary Jardine,1,7.6
Hilary Swank,4,6.2
Hippolyte Girardot,1,7.0
Hiro Shimono,1,6.5
Hiroki Suzuki,1,6.1
Hiromi Tsuru,1,7.0
Hiroyuki Watanabe,1,8.2
Hitori Gekidan,1,6.0
Holger Geschwinder,1,5.3
Holland Taylor,1,6.6
Holliday Grainger,3,5.566666666666666
Holly Houk,1,6.2
Holly Hunter,1,6.4
Holly Weston,1,5.3
Holt McCallany,1,5.7
Hope Davis,1,5.8
Howard Ashman,1,5.5
Howard Ryshpan,1,5.1
Howard Scott Warshaw,1,4.9
Howard Ward,1,3.3
Hristo Shopov,2,6.25
Hrithik Roshan,2,5.95
Huang Bo,1,5.8
Hudson Meek,1,5.7
Hugh Bonneville,1,6.8
Hugh Dancy,2,6.7
Hugh Grant,2,6.6
Hugh Jackman,4,5.550000000000001
Hugh Keays-Byrne,1,7.6
Hugh Laurie,4,6.525
Hugh Ross,1,5.2
Hugo Steele,1,5.2
Hugo Weaving,3,5.333333333333333
Hunter King,1,7.5
Hutch Dano,1,3.9
Huub Stapel,1,4.0
Hynden Walch,1,6.9
Iain De Caestecker,1,5.2
Iain Glen,5,5.340000000000001
Ian Anthony Dale,3,6.7
Ian Duncan,1,5.6
Ian Gomez,1,7.1
Ian Hart,1,6.4
Ian Hecox,1,7.0
Ian Holm,2,6.45
Ian McKellen,3,5.6000000000000005
Ian McShane,5,6.0
Ian Nelson,1,7.0
Ian Ogilvy,1,5.7
Ian Pirie,1,6.8
Ian Somerhalder,2,6.25
Ian Virgo,1,6.6
Ian Ziering,2,7.15
Iben Hjejle,1,6.6
Ice Cube,2,5.25
Ice-T,1,6.7
IchirÃ´ta Miyakawa,1,6.2
Idina Menzel,2,4.3
Idris Elba,7,6.571428571428571
Igal Naor,1,5.9
Iggy Pop,1,5.8
Igor Jijikine,1,6.1
Ike Barinholtz,2,5.9
Iko Uwais,1,7.2
Ileana D'Cruz,2,6.55
Iliza Shlesinger,1,4.5
Imelda Staunton,3,6.933333333333333
Imogen Poots,7,6.1000000000000005
Imogene Wolodarsky,1,5.7
India Dale-Hill,1,6.2
India Eisley,1,4.9
India Pearl,1,6.0
India Salvor Menuez,1,5.8
Ines Laimins,1,5.7
Inna Korobkina,1,6.8
Inong,1,7.0
Ioan Gruffudd,2,6.5
Ion Overman,2,6.75
Ionut Grama,1,5.9
Irene Papas,1,6.2
Iris Apfel,1,6.9
Iris Bahr,1,6.1
Irrfan Khan,2,6.25
IrÃ¨ne Jacob,1,6.1
Isaac C. Singleton Jr.,1,4.5
Isaac Hempstead Wright,1,6.8
Isaach De BankolÃ©,1,6.2
Isabel Lucas,4,6.05
Isabella Rossellini,2,6.300000000000001
Isabelle CarrÃ©,1,6.5
Isabelle Fuhrman,2,6.199999999999999
Isabelle Huppert,3,6.633333333333333
Isla Fisher,3,6.266666666666667
Isobelle Molloy,1,5.2
Isolde Barth,1,3.9
Israel Broussard,1,6.7
Israel Luna,2,6.1
IstvÃ¡n LÃ©nÃ¡rt,1,7.2
Italia Ricci,1,5.6
Itay Tiran,1,7.0
Iulia Verdes,1,6.2
Ivan Sergei,1,7.8
Ivana Baquero,1,6.8
Ivory Dortch,1,6.8
Ivy George,1,6.0
Iwan Rheon,1,7.1
Izabella Miko,1,6.8
Izzy Meikle-Small,1,4.0
J. Blakemore,1,5.9
J. J. Feild,2,6.75
J. Larose,1,6.5
J. Michael Trautmann,1,6.5
J.B. Smoove,1,7.0
J.D. Evermore,2,5.199999999999999
J.G. Quintel,1,4.8
J.J. Abrams,1,7.8
J.K. Simmons,10,6.2299999999999995
Jaason Simmons,1,5.5
Jacek Koman,1,4.6
Jacinda Barrett,1,6.9
Jack Black,6,6.383333333333333
Jack Bright,1,5.7
Jack Campbell,1,6.0
Jack Carpenter,1,5.0
Jack Cullison,1,6.3
Jack Davidson,1,5.9
Jack Doolan,1,5.7
Jack Huston,2,4.9
Jack Kesy,1,5.5
Jack Kilmer,1,6.2
Jack Lemmon,1,5.8
Jack McBrayer,2,5.1
Jack McMullen,1,5.9
Jack Nance,1,5.0
Jack Nicholson,1,5.6
Jack Noseworthy,1,5.0
Jack O'Connell,3,5.900000000000001
Jack O'Halloran,1,6.8
Jack Plotnick,1,6.8
Jack Rebney,1,6.8
Jack Reynor,4,6.5
Jack Thompson,1,5.9
Jack Turner,1,6.4
Jack Warden,1,5.9
Jack White,1,4.6
Jack Whitehall,1,5.3
Jacki Weaver,6,5.666666666666667
Jackie Chan,2,5.45
Jackie Earle Haley,3,5.6000000000000005
Jackie Gleason,1,5.0
Jackie Shroff,1,5.9
Jackie Tohn,1,6.5
Jackson Nicoll,1,5.8
Jackson Rathbone,2,6.55
Jaco Muller,1,5.4
Jacob Appelbaum,1,5.2
Jacob Lofland,1,6.9
Jacob Tremblay,1,6.6
Jacob Vargas,2,5.35
Jacob Wysocki,1,6.4
Jacob Zachar,1,6.0
Jacqueline Bisset,3,6.6000000000000005
Jacqueline Fernandez,2,6.05
Jacqueline Kim,1,6.6
Jacqueline Obradors,1,6.3
Jacqueline Scott,1,4.9
Jacques Gamblin,2,5.5
Jacques Marin,1,3.8
Jacques Mathou,1,6.7
Jacques Perrin,1,4.9
Jacy King,1,6.8
Jade Viggiano,1,7.0
Jaden Smith,1,6.4
Jadie-Rose Hobson,1,6.3
Jae Head,1,5.5
Jagadisa Angulo,1,5.3
Jai Courtney,4,5.799999999999999
Jai Koutrae,1,6.1
Jaime King,2,6.05
Jaime Pressly,3,6.366666666666667
Jake Abel,3,6.1000000000000005
Jake Busey,1,5.7
Jake Cherry,1,5.2
Jake Croker,1,4.4
Jake Curran,1,5.3
Jake Davies,1,5.1
Jake Epstein,1,5.5
Jake Gyllenhaal,8,6.324999999999999
Jake Johnson,4,5.574999999999999
Jake La Botz,1,6.7
Jake Lacy,2,6.35
Jake McDorman,2,6.25
Jake Stormoen,3,5.933333333333334
Jake T. Austin,3,5.8
Jake Weary,1,4.7
Jake Weber,2,6.5
Jakob Cedergren,1,7.0
Jakob Salvati,1,5.8
Jaleel White,1,6.1
Jamal Woolard,1,6.6
James Adam Lim,1,4.5
James Adomian,1,6.1
James Arnold Taylor,1,5.3
James Arrington,1,6.3
James Babson,1,5.6
James Badge Dale,3,5.733333333333333
James Best,1,6.9
James Brolin,3,6.5
James Buckley,2,5.949999999999999
James C. Burns,1,4.4
James Caan,5,5.840000000000001
James Cade,1,6.3
James Callis,1,5.9
James Chalke,1,3.0
James Coburn,1,6.9
James Corden,4,5.975
James Cosmo,2,6.25
James Cromwell,1,6.6
James D'Arcy,2,6.65
James D. Rolfe,1,7.8
James DuMont,1,5.8
James Duval,1,4.4
James Earl Jones,2,6.4
James Faulkner,1,5.5
James Floyd,1,5.5
James Franco,12,6.266666666666666
James Frecheville,2,5.55
James Freedson-Jackson,1,4.8
James Gaisford,1,5.3
James Gandolfini,4,5.450000000000001
James Garner,1,6.5
James J. Bulger,1,5.8
James Lafferty,2,6.550000000000001
James Lance,1,7.2
James Madio,1,6.9
James Marsden,11,5.872727272727274
James Marsters,1,6.4
James Mason,1,5.8
James McAvoy,7,5.957142857142857
James McCaffrey,1,6.9
James Nesbitt,3,6.0
James Norton,2,5.9
James Patrick Stuart,1,4.1
James Pickens Jr.,1,4.6
James Purefoy,3,6.233333333333333
James Randi,1,6.0
James Ransone,2,5.1
James Rebhorn,1,6.1
James Remar,2,5.85
James Roday,1,3.5
James Rolleston,2,6.1
James Russo,1,5.5
James Spader,1,4.7
James Thomas,1,6.5
James Urbaniak,1,5.5
James Van Der Beek,3,5.766666666666667
James Whitworth,1,7.0
James Woods,2,5.65
Jamie Anderson,1,4.7
Jamie Bamber,1,2.2
Jamie Bell,1,6.8
Jamie Bernadette,1,6.5
Jamie Blackley,3,6.233333333333333
Jamie Campbell Bower,1,6.4
Jamie Chung,8,5.9875
Jamie Clayton,1,7.0
Jamie Dornan,2,5.65
Jamie Draven,1,5.4
Jamie Foxx,6,5.666666666666667
Jamie Kennedy,4,7.15
Jamie Lee Curtis,1,3.4
Jamie Noel,1,3.1
Jamie Sives,1,5.9
Jamie Thomas King,1,7.0
Jamie Tisdale,1,6.5
Jamison Newlander,1,7.0
Jan Broberg,1,5.8
Jan Decleir,1,5.6
Jane Espenson,1,7.8
Jane Fonda,2,4.1
Jane Goodall,1,5.8
Jane Horrocks,1,6.6
Jane Lynch,1,6.0
Jane Moffat,1,5.8
Jane Seymour,2,5.6
Janeane Garofalo,1,5.5
Janet McTeer,1,5.8
Janet Montgomery,3,6.766666666666667
Janet Wright,1,6.5
Janet-Laine Green,1,5.6
Janette Armand,1,6.6
Jang Dong-gun,1,6.3
Janice Rule,1,6.1
Janis Joplin,1,6.4
January Jones,1,5.9
Jared Breeze,1,6.2
Jared Harris,2,6.6
Jared Leto,1,7.2
Jared Padalecki,1,5.8
Jascha Washington,1,6.6
Jasen Wade,1,6.1
Jasmine Guy,1,3.6
Jasmine Trinca,1,7.0
Jason Alexander,2,6.15
Jason Bateman,10,5.97
Jason Beghe,2,6.85
Jason Blicker,1,4.1
Jason Chen,1,5.3
Jason Clarke,3,6.099999999999999
Jason Cope,1,5.8
Jason Dohring,1,6.7
Jason Dolley,1,5.2
