cast,number_of_title,vote_average
Anna Mae Routledge,1,7.2
Anna Mouglalis,1,6.6
Anna Nerman,1,7.5
Anna Paquin,1,6.2
Anna Torv,1,7.7
Anna Wintour,2,6.8
AnnaLynne McCord,1,7.0
AnnaSophia Robb,2,6.25
Annabel Scholey,1,6.5
Annabelle Wallis,2,5.8
Annalee Jefferies,1,4.4
Anne Betancourt,1,6.5
Anne Coesens,1,4.9
Anne Consigny,1,7.5
Anne Dorval,1,6.5
Anne Hathaway,8,5.6875
Anne Heche,2,5.45
Anne Marie DeLuise,2,6.25
Anne Marivin,2,6.199999999999999
Anne Murray,1,5.1
Anne Ramsay,1,7.2
Anne Sorce,1,5.1
Anne-Marie Duff,3,6.1000000000000005
Annelise Hesme,1,5.5
Annette Bening,3,5.900000000000001
Annette Wozniak,1,4.1
Annie Monroe,1,6.7
Annika Marks,1,6.4
Ansel Elgort,2,5.1
Anson Mount,1,6.9
Anthony Anderson,1,6.2
Anthony Baines,1,6.2
Anthony Edwards,3,5.766666666666666
Anthony Flanagan,1,6.1
Anthony Hayes,1,6.6
Anthony Hopkins,5,6.36
Anthony Ilott,1,6.5
Anthony LaPaglia,3,6.3
Anthony Lemke,1,6.8
Anthony Mackie,4,5.3
Anthony Marks,1,7.5
Anthony Padilla,1,2.4
Anthony Quinn,1,6.5
Anthony Rapp,1,6.7
Anthony Ruivivar,1,5.2
Anthony Waller,1,7.0
Antje Traue,1,6.5
Antoine-Olivier Pilon,1,6.8
Anton Yelchin,7,6.414285714285714
Antonia Campbell-Hughes,1,5.1
Antonia Clarke,1,7.1
Antonia Steinberg,1,7.5
Antonia Thomas,1,7.2
Antonio Banderas,8,6.4125000000000005
Antonio Catania,1,8.0
Antonio Cupo,1,6.1
Antonique Smith,1,5.9
Antony Hickling,1,6.8
Antony Langdon,1,6.3
Anupam Kher,1,6.6
Anya Taylor-Joy,1,5.3
AnÃ©mone,1,5.5
Aomi Muyock,1,4.8
April Pearson,1,6.4
Aqueela Zoll,1,6.6
Arash Marandi,1,4.9
Archie Panjabi,3,5.633333333333333
Ardon Bess,1,6.3
Aren Buchholz,1,3.1
Ari Boyland,1,5.9
Arie Verveen,1,6.4
Ariel Levy,2,5.75
Ariel Schulman,1,3.5
Ariel Winter,1,4.5
Arielle Holmes,1,7.5
Arielle Kebbel,2,5.9
Arin Alldridge,1,5.5
Arjun Gupta,1,6.1
Arjun Kapoor,2,5.550000000000001
Arlen Escarpeta,2,6.25
Arliss Howard,1,5.8
Armando HernÃ¡ndez,1,5.2
Armie Hammer,3,6.8999999999999995
Armin Mueller-Stahl,2,5.6
Arnold Schwarzenegger,5,6.12
Arnold Vosloo,1,4.9
Aron Hijar,2,5.9
Arron Shiver,1,6.9
Arsenio Hall,1,6.9
Arsher Ali,1,5.8
ArsinÃ©e Khanjian,2,5.75
Art Garfunkel,1,6.4
Art LaFleur,1,6.1
Art Parkinson,1,5.8
Arthur Angel,1,5.3
Arthur Cave,1,7.3
Arthur Peyret,1,7.2
Artie Ahr,1,6.6
Artie Lange,1,5.2
Arundathi Nag,1,6.2
Ary Abittan,1,6.4
Asa Butterfield,2,6.6
Asami,1,8.3
Ase Wang,1,6.8
Asen Asenov,1,7.3
Ashanti Bromfield,1,6.1
Asher Keddie,1,6.1
Ashleigh Ball,4,6.15
Ashley Argota,1,7.0
Ashley Aufderheide,1,4.7
Ashley Bell,1,6.6
Ashley Benson,1,5.6
Ashley C. Williams,2,6.45
Ashley Greene,6,5.666666666666667
Ashley Hinshaw,1,5.6
Ashley Jensen,2,5.3
Ashley Johnson,1,6.5
Ashley Judd,4,5.75
Ashley Rickards,2,5.800000000000001
Ashley Scott,1,5.3
Ashley Springer,1,6.7
Ashley Walters,1,4.7
Ashley Williams,1,5.3
Ashlynn Yennie,2,6.6
Ashraf Barhom,1,5.9
Ashton Holmes,1,7.4
Ashton Kutcher,3,6.599999999999999
Ashutosh Rana,1,6.9
Assaf Cohen,1,6.9
Assumpta Serna,1,7.3
Astrid BergÃ¨s-Frisbey,1,5.4
Astro,1,5.8
Atal Yousafzai,1,4.7
Aubrey Peeples,2,5.85
Aubrey Plaza,7,5.428571428571428
Aude Pepin,1,4.2
Audra McDonald,1,6.1
Audrey Dana,1,6.2
Audrey Marie Anderson,1,6.3
Audrey Wasilewski,2,6.75
Audrina Patridge,1,5.3
Augie Duke,1,5.7
August Emerson,1,4.8
Aunjanue Ellis,2,5.4
Aurelia Scheppers,1,6.1
Aurora Perrineau,1,5.4
Aurore ClÃ©ment,1,5.8
Austin Abke,1,4.7
Austin Abrams,1,5.7
Austin Butler,2,6.4
Austin Highsmith,1,6.1
Austin Michael Scott,1,4.9
Austin Nichols,1,4.3
Austin Scott,1,7.0
Austin Stowell,1,4.6
Ava Acres,2,6.199999999999999
Ava DuVernay,1,5.0
Avan Jogia,1,6.6
Awie,1,7.2
Axel Alonso,1,7.4
Axel Axwell Hedfors,1,7.3
Axel Milberg,1,6.9
Ayelet Zurer,2,6.1
Ayesha Takia,1,6.1
Aymen Hamdouchi,1,5.5
Ayrton Senna,1,6.4
Aziz Ansari,2,6.65
Aznil Hj Nawawi,1,6.6
BabÃº Santana,1,6.6
Bae Doona ,1,6.6
Bailee Madison,3,6.7
Bailey De Young,1,6.0
Bailey Gaddis,1,6.5
Bailey Noble,1,6.0
Bailey Spry,1,5.6
Bam Margera,1,7.0
Banksy,1,5.6
Barack Obama,2,4.55
Barbara Alyn Woods,1,5.9
Barbara Bach,1,6.7
Barbara Carrera,1,4.2
Barbara Crampton,1,6.2
Barbara Hershey,2,6.05
Barbara Luddy,1,4.4
Barbara Niven,1,6.2
Barbara Rhoades,1,3.9
Barbra Streisand,1,5.1
Barkhad Abdi,1,5.6
Barnaby Carpenter,1,7.2
Baron Hill,1,6.7
Barry Bostwick,2,6.45
Barry Crimmins,1,5.5
Barry Humphries,1,4.9
Barry Miller,1,6.1
Barry Pepper,3,5.366666666666666
Barry Primus,1,5.6
Barry Shabaka Henley,1,6.1
Barry Ward,1,7.0
Barry Watson,1,7.1
Bart Baggett,1,6.8
Bart Johnson,1,5.2
Bart Rochon,1,7.0
Barta Heiner,1,5.6
Bashar Rahal,2,7.25
Baya Rehaz,1,5.1
Bea Santos,1,4.7
Beatrice Flammini,1,5.4
Beatrice Miller,1,5.8
Beau Bridges,1,6.7
Beau Garrett,1,4.6
Beau Knapp,2,5.65
Beau Mirchoff,4,5.9
Becky Rosso,1,5.8
Bel Powley,3,5.433333333333334
Bela Lugosi,1,6.5
Bella Heathcote,2,5.25
Bella Thorne,4,5.6499999999999995
Belle Knox,1,4.8
Ben Affleck,6,5.466666666666666
Ben Andrews,1,6.1
Ben Barnes,4,5.725
Ben Bledsoe,1,5.3
Ben Chaplin,1,5.6
Ben Cross,1,6.4
